"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128352","b0367","NP_414901.1","taurine transporter subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116051976","PA14_12960","WP_003114312.1","taurine ABC transporter permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128353","b0368","NP_414902.1","taurine dioxygenase, 2-oxoglutarate-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116051975","PA14_12970","WP_003137729.1","taurine dioxygenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111123","b0369","NP_414903.4","5-aminolevulinate dehydratase (porphobilinogen synthase)","57977","Pseudomonas aeruginosa UCBPP-PA14","116053390","PA14_69240","WP_003096352.1","delta-aminolevulinic acid dehydratase","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128357","b0372","NP_414906.1","IS3 transposase B","57977","Pseudomonas aeruginosa UCBPP-PA14","116053980","PA14_03300","WP_003137178.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128357","b0372","NP_414906.1","IS3 transposase B","57977","Pseudomonas aeruginosa UCBPP-PA14","116048904","PA14_51630","WP_023443521.1","transposase","5","","PA14_03300[hypothetical protein];PA14_03300[hypothetical protein];PA14_03300[hypothetical protein];PA14_03300[hypothetical protein];PA14_03300[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128363","b0378","NP_414912.1","probable lipoprotein required for swarming phenotype","57977","Pseudomonas aeruginosa UCBPP-PA14","116050680","PA14_29270","WP_003119474.1","putative outer membrane lipoprotein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176017","b0383","NP_414917.2","bacterial alkaline phosphatase","57977","Pseudomonas aeruginosa UCBPP-PA14","116051311","PA14_21410","WP_003112133.1","alkaline phosphatase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","162135895","b0384","NP_414918.4","conserved protein, PsiF family, pho regulon","57977","Pseudomonas aeruginosa UCBPP-PA14","116053023","PA14_64460","WP_003095479.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128370","b0385","NP_414919.1","diguanylate cyclase for cellulose, biofilm, motility regulation","57977","Pseudomonas aeruginosa UCBPP-PA14","116052991","PA14_64050","WP_003106227.1","putative two-component response regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128371","b0386","NP_414920.1","pyrroline-5-carboxylate reductase, NAD(P)-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116054124","PA14_05150","WP_003084546.1","pyrroline-5-carboxylate reductase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111127","b0387","NP_414921.2","conserved protein, UPF0178 family, downregulated by beryllium","57977","Pseudomonas aeruginosa UCBPP-PA14","116053394","PA14_69280","WP_003136094.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128376","b0391","NP_414925.1","conserved protein, UPF0345 family","57977","Pseudomonas aeruginosa UCBPP-PA14","116049518","PA14_44140","WP_003087375.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128378","b0393","NP_414927.1","nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function","57977","Pseudomonas aeruginosa UCBPP-PA14","116051277","PA14_21790","WP_003091601.1","recombination associated protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128382","b0397","NP_414931.1","exonuclease, dsDNA, ATP-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116052316","PA14_55650","WP_003141172.1","putative exonuclease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128383","b0398","NP_414932.1","exonuclease, dsDNA, ATP-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116052315","PA14_55640","WP_003141171.1","exonuclease SbcD","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128384","b0399","NP_414933.1","DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)","57977","Pseudomonas aeruginosa UCBPP-PA14","116053507","PA14_70750","WP_003096653.1","two-component response regulator PhoB","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128385","b0400","NP_414934.1","sensory histidine kinase in two-component regulatory system with PhoB","57977","Pseudomonas aeruginosa UCBPP-PA14","116053508","PA14_70760","WP_003136283.1","two-component sensor PhoR","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128386","b0401","NP_414935.1","Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val","57977","Pseudomonas aeruginosa UCBPP-PA14","116049922","PA14_39050","WP_003113469.1","branched-chain amino acid transport carrier","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128387","b0402","NP_414936.1","proline-specific permease","57977","Pseudomonas aeruginosa UCBPP-PA14","116053244","PA14_67310","WP_003141829.1","putative amino acid permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128389","b0404","NP_414938.1","conserved protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116052387","PA14_56600","WP_003093976.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128390","b0405","NP_414939.1","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","57977","Pseudomonas aeruginosa UCBPP-PA14","116051849","PA14_14590","WP_003137849.1","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128391","b0406","NP_414940.1","tRNA-guanine transglycosylase","57977","Pseudomonas aeruginosa UCBPP-PA14","116051848","PA14_14600","WP_003092857.1","queuine tRNA-ribosyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128392","b0407","NP_414941.1","SecYEG protein translocase auxillary subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116051847","PA14_14610","WP_003092856.1","preprotein translocase subunit YajC","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128393","b0408","NP_414942.1","SecYEG protein translocase auxillary subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116051846","PA14_14630","WP_003110921.1","preprotein translocase subunit SecD","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128394","b0409","NP_414943.1","SecYEG protein translocase auxillary subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116051845","PA14_14650","WP_003092852.1","preprotein translocase subunit SecF","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128396","b0411","NP_414945.1","nucleoside channel, receptor of phage T6 and colicin K","57977","Pseudomonas aeruginosa UCBPP-PA14","116053864","PA14_01770","WP_003083838.1","putative nucleoside-binding outer membrane protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128398","b0413","NP_414947.1","conserved protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116052094","PA14_11380","WP_003107181.1","transcriptional regulator NrdR","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128399","b0414","NP_414948.1","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052093","PA14_11400","WP_003137634.1","riboflavin-specific deaminase/reductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128400","b0415","NP_414949.1","riboflavin synthase beta chain","57977","Pseudomonas aeruginosa UCBPP-PA14","116052090","PA14_11430","WP_003093311.1","6,7-dimethyl-8-ribityllumazine synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128401","b0416","NP_414950.1","transcription antitermination protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116052089","PA14_11450","WP_003093308.1","transcription antitermination protein NusB","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128402","b0417","NP_414951.1","thiamin-monophosphate kinase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052088","PA14_11460","WP_003137635.1","thiamine monophosphate kinase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128403","b0418","NP_414952.1","phosphatidylglycerophosphatase A","57977","Pseudomonas aeruginosa UCBPP-PA14","116052087","PA14_11470","WP_003093304.1","phosphatidylglycerophosphatase A","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111130","b0419","NP_414953.2","2-carboxybenzaldehyde reductase, function unknown","57977","Pseudomonas aeruginosa UCBPP-PA14","116049689","PA14_42050","WP_003140026.1","putative oxidoreductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128405","b0420","NP_414954.1","1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring","57977","Pseudomonas aeruginosa UCBPP-PA14","116052081","PA14_11550","WP_003102816.1","1-deoxy-D-xylulose-5-phosphate synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128406","b0421","NP_414955.1","geranyltranstransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052080","PA14_11560","WP_003093289.1","geranyltranstransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128407","b0422","NP_414956.1","exonuclease VII small subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116052079","PA14_11570","WP_003093283.1","exodeoxyribonuclease VII small subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128408","b0423","NP_414957.1","tRNA s(4)U8 sulfurtransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116053265","PA14_67580","WP_003141843.1","thiamine biosynthesis protein ThiI","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128410","b0425","NP_414959.1","2-dehydropantoate reductase, NADPH-specific","57977","Pseudomonas aeruginosa UCBPP-PA14","116052432","PA14_57160","WP_003141264.1","2-dehydropantoate 2-reductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111132","b0426","NP_414960.2","Phi6 host factor; binds ATP and GTP","57977","Pseudomonas aeruginosa UCBPP-PA14","116052430","PA14_57130","WP_003094081.1","putative nucleotide-binding protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111133","b0427","NP_414961.4","predicted transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116054452","PA14_09195","WP_003103910.1","major facilitator transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128413","b0428","NP_414962.1","protoheme IX farnesyltransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049273","PA14_47150","WP_003082726.1","protoheme IX farnesyltransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128414","b0429","NP_414963.1","cytochrome o ubiquinol oxidase subunit IV","57977","Pseudomonas aeruginosa UCBPP-PA14","116049272","PA14_47160","WP_003109258.1","cytochrome o ubiquinol oxidase subunit IV","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128415","b0430","NP_414964.1","cytochrome o ubiquinol oxidase subunit III","57977","Pseudomonas aeruginosa UCBPP-PA14","116049271","PA14_47180","WP_003086858.1","cytochrome o ubiquinol oxidase subunit III","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128416","b0431","NP_414965.1","cytochrome o ubiquinol oxidase subunit I","57977","Pseudomonas aeruginosa UCBPP-PA14","116049270","PA14_47190","WP_003082705.1","cytochrome o ubiquinol oxidase subunit I","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128417","b0432","NP_414966.1","cytochrome o ubiquinol oxidase subunit II","57977","Pseudomonas aeruginosa UCBPP-PA14","116049269","PA14_47210","WP_003086856.1","cytochrome o ubiquinol oxidase subunit II","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128418","b0433","NP_414967.1","muropeptide transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116052428","PA14_57100","WP_003094076.1","putative permease","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111135","b0435","NP_414969.4","stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC","57977","Pseudomonas aeruginosa UCBPP-PA14","116048780","PA14_53190","WP_003109415.1","morphogene protein BolA","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128421","b0436","NP_414970.1","peptidyl-prolyl cis/trans isomerase (trigger factor)","57977","Pseudomonas aeruginosa UCBPP-PA14","116049750","PA14_41250","WP_003087920.1","trigger factor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128422","b0437","NP_414971.1","proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases","57977","Pseudomonas aeruginosa UCBPP-PA14","116049751","PA14_41240","WP_003098129.1","ATP-dependent Clp protease proteolytic subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128423","b0438","NP_414972.1","ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease","57977","Pseudomonas aeruginosa UCBPP-PA14","116049752","PA14_41230","WP_003087924.1","ATP-dependent protease ATP-binding subunit ClpX","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128424","b0439","NP_414973.1","DNA-binding ATP-dependent protease La","57977","Pseudomonas aeruginosa UCBPP-PA14","116049753","PA14_41220","WP_003124759.1","Lon protease","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128425","b0440","NP_414974.1","HU, DNA-binding transcriptional regulator, beta subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116049754","PA14_41210","WP_003087931.1","DNA-binding protein HU","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128426","b0441","NP_414975.1","periplasmic folding chaperone, has an inactive PPIase domain","57977","Pseudomonas aeruginosa UCBPP-PA14","116049755","PA14_41190","WP_003087933.1","peptidyl-prolyl cis-trans isomerase D","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128427","b0442","NP_414976.1","conserved protein, ComEA homolog","57977","Pseudomonas aeruginosa UCBPP-PA14","116051136","PA14_23480","WP_003138486.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128429","b0444","NP_414978.1","required for 7-cyano-7-deazaguanine (preQ0) synthesis","57977","Pseudomonas aeruginosa UCBPP-PA14","116048901","PA14_51670","WP_003111415.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128435","b0450","NP_414984.1","nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB","57977","Pseudomonas aeruginosa UCBPP-PA14","116053436","PA14_69810","WP_003096476.1","nitrogen regulatory protein P-II 2","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128436","b0451","NP_414985.1","ammonium transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116054420","PA14_69795","WP_003109815.1","ammonium transporter AmtB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128437","b0452","NP_414986.1","acyl-CoA thioesterase II","57977","Pseudomonas aeruginosa UCBPP-PA14","116051982","PA14_12870","WP_003093084.1","acyl-CoA thioesterase II","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176025","b0453","NP_414987.3","outer membrane lipoprotein","57977","Pseudomonas aeruginosa UCBPP-PA14","116051671","PA14_16840","WP_003137983.1","putative lipoprotein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128439","b0454","NP_414988.1","binds and enhances nucleotide excision repair of O(6)-alkylguanine; degenerate cysteine methyltransferase homolog","57977","Pseudomonas aeruginosa UCBPP-PA14","116052426","PA14_57080","WP_003141261.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111138","b0457","NP_414990.2","predicted cyclic-di-GMP phosphodiesterase","57977","Pseudomonas aeruginosa UCBPP-PA14","116050133","PA14_36260","WP_011666671.1","putative signal transduction protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128443","b0459","NP_414992.1","maltose O-acetyltransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116048613","PA14_55170","WP_003141132.1","chloramphenicol acetyltransferase","1","","PA14_14160[putative acetyltransferase]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128443","b0459","NP_414992.1","maltose O-acetyltransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116051884","PA14_14160","WP_003111880.1","putative acetyltransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128446","b0462","NP_414995.1","multidrug efflux system protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116054157","PA14_05540","WP_003107312.1","RND multidrug efflux transporter MexB","1","b3266[multidrug efflux system protein]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128447","b0463","NP_414996.1","multidrug efflux system","57977","Pseudomonas aeruginosa UCBPP-PA14","116054156","PA14_05530","WP_003118819.1","RND multidrug efflux membrane fusion protein MexA precursor","1","b3265[cytoplasmic membrane lipoprotein]","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128448","b0464","NP_414997.1","DNA-binding transcriptional repressor","57977","Pseudomonas aeruginosa UCBPP-PA14","116051571","PA14_18080","WP_003092152.1","TetR family transcriptional regulator","1","b3264[DNA-binding transcriptional regulator]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128449","b0465","NP_414998.1","fused conserved protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116053170","PA14_66400","WP_003095799.1","potassium efflux protein KefA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128452","b0468","NP_415001.1","inner membrane protein, DUF454 family","57977","Pseudomonas aeruginosa UCBPP-PA14","116049384","PA14_45850","WP_003087079.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128453","b0469","NP_415002.1","adenine phosphoribosyltransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049487","PA14_44500","WP_003087259.1","adenine phosphoribosyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128454","b0470","NP_415003.1","DNA polymerase III/DNA elongation factor III, tau and gamma subunits","57977","Pseudomonas aeruginosa UCBPP-PA14","116049476","PA14_44630","WP_011666715.1","DNA polymerase III subunits gamma and tau","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128455","b0471","NP_415004.1","conserved protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116049477","PA14_44620","WP_003087236.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128456","b0472","NP_415005.1","gap repair protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116049478","PA14_44610","WP_003111077.1","recombination protein RecR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128457","b0473","NP_415006.1","molecular chaperone HSP90 family","57977","Pseudomonas aeruginosa UCBPP-PA14","116049541","PA14_43850","WP_003087446.1","heat shock protein 90","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128458","b0474","NP_415007.1","adenylate kinase","57977","Pseudomonas aeruginosa UCBPP-PA14","116051683","PA14_16700","WP_003092485.1","adenylate kinase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128459","b0475","NP_415008.1","ferrochelatase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052800","PA14_61580","WP_003141619.1","ferrochelatase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128460","b0476","NP_415009.1","acetyl esterase","57977","Pseudomonas aeruginosa UCBPP-PA14","116053531","PA14_71110","WP_003115631.1","putative lipolytic enzyme","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128462","b0478","NP_415011.1","predicted transporter with NAD(P)-binding Rossmann-fold domain","57977","Pseudomonas aeruginosa UCBPP-PA14","116053668","PA14_72800","WP_003099695.1","putative potassium efflux transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128465","b0481","NP_415014.1","conserved protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116051578","PA14_17990","WP_003092163.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111140","b0483","NP_415016.4","predicted DNA-binding transcriptional regulator","57977","Pseudomonas aeruginosa UCBPP-PA14","116052819","PA14_61840","WP_003133769.1","putative virulence-associated protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128468","b0484","NP_415017.1","copper transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116051960","PA14_13170","WP_003110791.1","putative metal transporting P-type ATPase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128471","b0487","NP_415020.1","DNA-binding transcriptional activator of copper-responsive regulon genes","57977","Pseudomonas aeruginosa UCBPP-PA14","116052925","PA14_63170","WP_003095248.1","putative transcriptional regulator","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698226","b0488","NP_415021.2","inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA","57977","Pseudomonas aeruginosa UCBPP-PA14","116053359","PA14_68830","WP_003109994.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128473","b0489","NP_415022.1","multicopy suppressor of ftsH htpX double mutant; membrane-anchored predicted protease with C-terminal cytoplasmic PHB domain","57977","Pseudomonas aeruginosa UCBPP-PA14","116054181","PA14_05890","WP_003084693.1","putative stomatin-like protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111142","b0492","NP_415025.4","DnaK co-chaperone, thioredoxin-like protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116052097","PA14_11340","WP_003137633.1","putative thioredoxin","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128477","b0493","NP_415026.1","predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain","57977","Pseudomonas aeruginosa UCBPP-PA14","116051345","PA14_20980","WP_003106196.1","putative short chain dehydrogenas","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128478","b0494","NP_415027.1","multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1","57977","Pseudomonas aeruginosa UCBPP-PA14","116050859","PA14_27160","WP_003119867.1","acyl-CoA thioesterase I precursor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128479","b0495","NP_415028.1","predicted transporter subunit: ATP-binding component of ABC superfamily","57977","Pseudomonas aeruginosa UCBPP-PA14","116050860","PA14_27150","WP_003090949.1","ABC transporter ATP-binding protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128480","b0496","NP_415029.1","predicted ABC transporter permease","57977","Pseudomonas aeruginosa UCBPP-PA14","116050861","PA14_27140","WP_016254233.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128481","b0497","NP_415030.1","rhsD element protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116050670","PA14_29400","WP_003138894.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128487","b0503","NP_415036.1","tRNA 2-selenouridine synthase, selenophosphate-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116049587","PA14_43270","WP_003087548.1","tRNA 2-selenouridine synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128488","b0504","NP_415037.1","DNA-binding transcriptional activator of the allD operon","57977","Pseudomonas aeruginosa UCBPP-PA14","116051221","PA14_22470","WP_003091534.1","LysR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128489","b0505","NP_415038.1","ureidoglycolate hydrolase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049458","PA14_44860","WP_003083329.1","ureidoglycolate hydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128491","b0507","NP_415040.1","glyoxylate carboligase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049446","PA14_45000","WP_003087182.1","glyoxylate carboligase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128492","b0508","NP_415041.1","hydroxypyruvate isomerase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049445","PA14_45010","WP_003087181.1","putative hydroxypyruvate isomerase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128493","b0509","NP_415042.1","tartronate semialdehyde reductase, NADH-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116049444","PA14_45020","WP_003087180.1","putative oxidoreductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111144","b0511","NP_415044.4","predicted allantoin transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116054205","PA14_06230","WP_031632850.1","putative permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128498","b0514","NP_415047.1","glycerate kinase II","57977","Pseudomonas aeruginosa UCBPP-PA14","116048980","PA14_50760","WP_003140617.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128499","b0515","NP_415048.1","conserved protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116049072","PA14_49650","WP_003086528.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128500","b0516","NP_415049.1","allantoate amidohydrolase","57977","Pseudomonas aeruginosa UCBPP-PA14","116054174","PA14_05810","WP_003084676.1","allantoate amidohydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128501","b0517","NP_415050.1","ureidoglycolate dehydrogenase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049204","PA14_48020","WP_003082545.1","putative L-malate dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128505","b0521","NP_415054.1","predicted carbamate kinase","57977","Pseudomonas aeruginosa UCBPP-PA14","116053320","PA14_68350","WP_003096199.1","carbamate kinase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128506","b0522","NP_415055.1","N5-carboxyaminoimidazole ribonucleotide synthase","57977","Pseudomonas aeruginosa UCBPP-PA14","116053573","PA14_71600","WP_003142082.1","phosphoribosylaminoimidazole carboxylase ATPase subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128507","b0523","NP_415056.1","N5-carboxyaminoimidazole ribonucleotide mutase","57977","Pseudomonas aeruginosa UCBPP-PA14","116053574","PA14_71620","WP_003106314.1","phosphoribosylaminoimidazole carboxylase, catalytic subunit","","","","SSD"
